2.35,317.98,156.85
2.36,321.53,156.85
2.37,323.46,156.85
2.38,322.98,156.85
2.39,326.05,156.85
2.4,333.94,156.85
2.41,340.4,156.85
2.42,345.5,156.85
2.43,353.99,156.85
2.44,364.31,156.85
2.45,373.97,156.85
2.46,383.64,156.85
2.47,393.23,156.85
2.48,401.95,156.85
2.49,408.73,156.85
2.5,415.72,156.85
2.51,422.71,156.85
2.52,429.31,156.85
2.53,436.12,156.85
2.54,438.45,156.85
2.55,441.66,156.85
2.56,442.73,156.85
2.57,444,156.85
2.58,449.06,156.85
2.59,455.98,156.85
2.6,466.21,156.85
2.61,476.66,156.85
2.62,487.4,156.85
2.63,499.53,156.85
2.64,509.81,156.85
2.65,518.34,156.85
2.66,527.46,156.85
2.67,534.04,156.85
2.68,542.59,156.85
2.69,548.58,156.85
2.7,554.19,156.85
2.71,560.39,156.85
2.72,563.64,156.85
2.73,571.82,156.85
2.74,576.95,156.85
2.75,583.26,156.85
2.76,588.69,156.85
2.77,594.82,156.85
2.78,600.84,156.85
2.79,606.58,156.85
2.8,612.52,156.85
2.81,618.85,156.85
2.82,625.89,156.85
2.83,632.73,156.85
2.84,639.08,156.85
2.85,647.32,156.85
2.86,653.78,156.85
2.87,662.43,156.85
2.88,671.78,156.85
2.89,681.74,156.85
2.9,692.51,156.85
2.91,704.49,156.85
2.92,715.99,156.85
2.93,726.69,156.85
2.94,737.21,156.85
2.95,747.24,156.85
2.96,756.67,156.85
2.97,764.91,156.85
2.98,774.06,156.85
2.99,781.1,156.85
3,787.75,156.85
3.01,794,156.85
3.02,800.55,156.85
3.03,805.9,156.85
3.04,814.07,156.85
3.05,821.05,156.85
3.06,829.44,156.85
3.07,837.63,156.85
3.08,846.14,156.85
3.09,857.4,156.85
3.1,867.85,156.85
3.11,879.43,156.85
3.12,893.47,156.85
3.13,908.96,156.85
3.14,926,156.85
3.15,942.46,156.85
3.16,958.43,156.85
3.17,973.3,156.85
3.18,987.89,155.53
3.19,1002.18,156.85
3.2,1015.88,156.85
3.21,1029.29,156.85
3.22,1042.82,156.85
3.23,1054.4,156.85
3.24,1065.17,156.85
3.25,1074.6,156.69
3.26,1085.28,156.85
3.27,1095.15,151.11
3.28,1102.53,156.84
3.29,1112.1,155.5
3.3,1120.85,154.17
3.31,1130.95,150.77
3.32,1141.49,147.95
3.33,1152.67,146.58
3.34,1163.33,145.29
3.35,1174.95,142.21
3.36,1186.27,140.98
3.37,1198.55,136.72
3.38,1209.58,135.44
3.39,1219.88,134.63
3.4,1231.78,131.38
3.41,1241.37,129.29
3.42,1250.34,128.25
3.43,1259.74,127.36
3.44,1269.04,123.38
3.45,1279.83,123.4
3.46,1289.79,122.23
3.47,1299.75,120.68
3.48,1309.09,117.22
3.49,1318.65,115.86
3.5,1328.65,115.06
3.51,1339.19,114.86
3.52,1348.78,111.1
3.53,1357.84,108.62
3.54,1365.21,104.38
3.55,1374.61,88.08
3.56,1384.98,98.82
3.57,1394.4,87.8
3.58,1405.33,89.17
3.59,1416.17,83.08
3.6,1426.48,79.1
3.61,1436.91,77.81
3.62,1447.99,72.77
3.63,1458.66,69.18
3.64,1467.83,64.2
3.65,1478.19,59.76
3.66,1486.62,55.67
3.67,1493.98,52.14
3.68,1500.69,46.61
3.69,1508.92,44.03
3.7,1516.94,40.49
3.71,1527.14,36.21
3.72,1536.37,31.49
3.73,1548.01,27.85
3.74,1557.04,23.04
3.75,1565.76,18.14
3.76,1575.68,13.07
3.77,1585.07,8.44
3.78,1593.26,3.03
3.79,1603,-1.4
3.8,1609.67,-5.82
3.81,1617.78,-10.65
3.82,1626,-15.69
3.83,1635.32,-20.8
3.84,1643.78,-26
3.85,1651.69,-30.32
3.86,1661.05,-34.23
3.87,1668.53,-39.87
3.88,1676.58,-44.24
3.89,1682.09,-46.88
3.9,1689.81,-49.53
3.91,1696.44,-51.48
3.92,1704.51,-52.79
3.93,1711.58,-54.27
3.94,1720.88,-54.6
3.95,1730.19,-56.6
3.96,1737.51,-55.95
3.97,1746.83,-57.07
3.98,1757.05,-58.08
3.99,1764.17,-58.4
4,1772.85,-59.36
4.01,1779.86,-58.73
4.02,1788.78,-59.53
4.03,1796.7,-61.34
4.04,1804.85,-60.38
4.05,1814.35,-60.71
4.06,1820.73,-61.12
4.07,1829.12,-61.21
4.08,1836.85,-58.91
4.09,1843.46,-56.47
4.1,1853.34,-57.08
4.11,1860.41,-61.05
4.12,1867.15,-64.72
4.13,1871.32,-71.32
4.14,1875.14,-64.05
4.15,1877.95,-62.89
4.16,1883.13,-61.83
4.17,1888.43,-62.24
4.18,1894.29,-62.62
4.19,1898.8,-63.14
4.2,1903.2,-63.22
4.21,1907.37,-63.3
4.22,1912.11,-62.53
4.23,1916.18,-62.68
4.24,1921.61,-61.83
4.25,1927.03,-62.26
4.26,1935.41,-62.45
4.27,1944.35,-62.32
4.28,1954.11,-62.79
4.29,1965.11,-63.05
4.3,1973.98,-62.27
4.31,1984.67,-62.75
4.32,1993.09,-62.16
4.33,2004.26,-63.55
4.34,2014.64,-62.57
4.35,2025.83,-62.49
4.36,2036.12,-62.32
4.37,2048.83,-62.75
4.38,2061.89,-62.25
4.39,2074.29,-61.81
4.4,2086.59,-64.34
4.41,2099.13,-61.81
4.42,2112.96,-61.77
4.43,2124.38,-62.41
4.44,2134.54,-62.01
4.45,2144.84,-62.13
4.46,2153.28,-61.7
4.47,2161.97,-62.55
4.48,2172.18,-62.24
4.49,2181,-61.58
4.5,2188.43,-61.38
4.51,2195.64,-61.95
4.52,2201.23,-61.38
4.53,2209.14,-62.43
4.54,2215.43,-63.07
4.55,2223.13,-61.09
4.56,2230.71,-61.09
4.57,2239.7,-61.09
4.58,2246.6,-61.45
4.59,2254.44,-61.66
4.6,2262.4,-61.29
4.61,2269.43,-60.96
4.62,2278.22,-61.84
4.63,2285.26,-63.12
4.64,2291.72,-62.26
4.65,2299.36,-62.87
4.66,2305,-62.8
4.67,2312.65,-62.8
4.68,2320.66,-61.51
4.69,2328.44,-61.16
4.7,2335.17,-61.21
4.71,2342.96,-60.62
4.72,2350.64,-62.28
4.73,2357.02,-61.04
4.74,2363.53,-60.48
4.75,2370.04,-60.73
4.76,2376.44,-60.94
4.77,2381.89,-59.47
4.78,2387.7,-57.96
4.79,2393.99,-56.22
4.8,2399.58,-52.59
4.81,2405.52,-43.31
4.82,2410.99,-37.8
4.83,2413.48,-31.98
4.84,2407.54,-21.06
4.85,2395.54,-10.83
4.86,2378.69,-42.95
4.87,2360.45,-50.04
4.88,2342.72,-50.25
4.89,2334.81,-49.53
4.9,2347.33,-48.75
4.91,2371.46,-49.01
4.92,2382.48,-49.12
4.93,2393.16,-48.85
4.94,2401.83,-48.54
4.95,2410.99,-48.36
4.96,2417.65,-48.17
4.97,2421.7,-47.29
4.98,2416.46,-47.64
4.99,2397.56,-48.73
5,2357.85,-46.91
5.01,2323.02,-47.19
5.02,2301.95,-47.04
5.03,2288.2,-47
5.04,2279.39,-47.23
5.05,2275.52,-46.82
5.06,2274.82,-46.55
5.07,2275.52,-46.44
5.08,2278.57,-46.1
5.09,2282.68,-46.58
5.1,2287.38,-45.98
5.11,2295.6,-46.3
5.12,2302.3,-46.21
5.13,2307.95,-45.52
5.14,2314.42,-46.45
5.15,2319.48,-46.07
5.16,2324.79,-45.71
5.17,2328.56,-45.39
5.18,2333.28,-45.57
5.19,2337.05,-46.64
5.2,2341.89,-45.82
5.21,2346.15,-45.9
5.22,2350.52,-46.34
5.23,2357.14,-45.03
5.24,2363.29,-45.78
5.25,2369.21,-45.03
5.26,2376.44,-44.98
5.27,2384.74,-44.69
5.28,2393.4,-44.55
5.29,2401.83,-45
5.3,2409.56,-44.18
5.31,2418.36,-43.99
5.32,2426.22,-44.48
5.33,2433.37,-44.13
5.34,2439.93,-43.9
5.35,2447.57,-44.6
5.36,2453.66,-44.08
5.37,2460,-44.54
5.38,2464.66,-43.6
5.39,2470.52,-43.99
5.4,2475.43,-44.36
5.41,2482.5,-43.6
5.42,2486.69,-43.54
5.43,2492.69,-43.4
5.44,2498.81,-42.97
5.45,2506.01,-43.14
5.46,2512.62,-43.42
5.47,2519.96,-42.87
5.48,2527.06,-42.76
5.49,2534.41,-42.84
5.5,2541.88,-42.97
5.51,2549.24,-42.9
5.52,2555.76,-42.51
