0,-3.21
-0.09,-2.43
-0.13,-1.69
-0.07,-0.99
-0.02,-0.34
0.01,0.28
0.03,0.86
0.06,1.33
-0.16,1.85
-0.02,2.34
0.02,2.77
0.01,3.22
-0.01,3.63
0.02,4.02
0.02,4.37
0.02,4.68
0,4.98
0,5.28
-0.01,5.55
0,5.81
0.02,6.05
0.04,6.28
0.03,6.49
0.02,6.69
0.01,6.87
0.05,7.04
0.04,7.21
0.05,7.36
0.01,7.53
-0.22,7.8
-1.84,10.12
-1.76,18.97
-1.36,27.32
-1.09,35.17
-1.03,42.54
-0.96,49.46
-0.71,55.97
-0.39,62.08
-0.44,67.82
-0.31,73.21
-0.15,78.28
-0.14,83.04
0.09,87.51
0.16,91.71
0.16,95.66
0.43,99.36
0.58,102.85
0.62,106.12
0.7,109.19
0.78,112.08
0.91,114.79
0.92,117.34
1.2,119.73
1.39,121.98
1.66,124.09
1.96,126.08
2.1,127.94
2.4,129.69
2.77,131.34
3.08,132.88
3.47,134.33
3.94,135.7
4.38,136.98
4.87,138.18
5.33,139.31
5.82,140.38
6.28,141.37
6.81,142.31
7.44,143.19
7.97,144.02
8.6,144.8
9.26,145.53
9.95,146.21
10.64,146.86
11.32,147.46
12.08,148.03
12.78,148.57
13.56,149.07
14.25,149.54
15,149.98
15.82,150.4
16.67,150.79
17.55,151.16
18.47,151.5
19.37,151.82
20.28,152.13
21.28,152.42
22.28,152.68
23.22,152.94
24.23,153.17
25.27,153.4
26.29,153.61
27.39,153.8
28.49,153.99
29.6,154.16
30.69,154.32
31.83,154.48
32.99,154.62
34.18,154.75
35.35,154.88
36.52,155
37.75,155.11
38.97,155.22
40.23,155.32
41.44,155.41
42.68,155.5
43.98,155.58
45.3,155.66
46.64,155.73
47.96,155.8
49.28,155.86
50.63,155.92
52,155.98
53.38,156.03
54.81,156.08
56.22,156.13
57.7,156.17
59.18,156.21
60.67,156.25
62.16,156.29
63.7,156.32
65.27,156.35
66.83,156.38
68.4,156.41
69.98,156.44
71.61,156.46
73.23,156.49
74.9,156.51
76.57,156.53
78.28,156.55
79.97,156.57
81.74,156.58
83.5,156.6
85.28,156.61
87.08,156.63
88.93,156.64
90.79,156.66
92.66,156.67
94.56,156.68
96.49,156.69
98.39,156.7
100.33,156.71
102.24,156.72
104.16,156.72
106.08,156.73
107.99,156.74
109.9,156.75
111.82,156.75
113.74,156.76
115.72,156.76
117.72,156.77
119.73,156.77
121.74,156.78
123.8,156.78
125.82,156.79
127.88,156.79
129.96,156.79
132.06,156.8
134.13,156.8
136.1,156.8
138.19,156.81
140.41,156.81
142.48,156.81
144.44,156.81
147.89,156.82
152.09,156.82
156.31,156.82
160.03,156.82
163.07,156.82
165.58,156.83
168.01,156.83
170.32,156.83
172.55,156.83
174.78,156.83
176.96,156.83
179.07,156.83
181.13,156.83
183.14,156.83
185.01,156.84
186.91,156.84
188.71,156.84
190.49,156.84
192.21,156.84
193.91,156.84
195.58,156.84
197.29,156.84
198.96,156.84
200.61,156.84
202.29,156.84
203.97,156.84
205.7,156.84
207.48,156.84
209.25,156.84
211.06,156.84
212.92,156.84
214.82,156.85
216.73,156.85
218.64,156.85
220.54,156.85
222.47,156.85
224.43,156.85
226.38,156.85
228.3,156.85
230.31,156.85
232.33,156.85
234.38,156.85
236.47,156.85
238.45,156.85
240.34,156.85
242.25,156.85
244.01,156.85
245.82,156.85
247.53,156.85
249.24,156.85
250.88,156.85
252.57,156.85
254.16,156.85
255.84,156.85
257.55,156.85
259.24,156.85
261.02,156.85
262.82,156.85
264.58,156.85
266.4,156.85
268.04,156.85
269.45,156.85
270.9,156.85
272.37,156.85
273.71,156.85
275.21,156.85
276.92,156.85
278.75,156.85
280.86,156.85
283.1,156.85
285.43,156.85
287.74,156.85
289.87,156.85
292.06,156.85
294.6,156.85
297.37,156.85
300.29,156.85
303.54,156.85
307.22,156.85
311.27,156.85
315.65,156.85
320.35,156.85
325.29,156.85
330.35,156.85
335.52,156.85
340.8,156.85
346.16,156.85
351.61,156.85
356.87,156.85
362.01,156.85
366.9,156.85
371.57,156.85
376.26,156.85
381.09,156.85
386.25,156.85
391.73,156.85
397.52,156.85
403.7,156.85
410.13,156.85
416.68,156.85
423.39,156.85
430.1,156.85
436.91,156.85
443.68,156.85
450.37,156.85
457.04,156.85
463.49,156.85
470.06,156.85
476.53,156.85
483,156.85
489.4,156.85
495.78,156.85
502.15,156.85
508.48,156.85
514.78,156.85
521.08,156.85
527.43,156.85
533.81,156.85
540.19,156.85
546.68,156.85
553.16,156.85
559.78,156.85
566.57,156.85
573.55,156.85
580.75,156.85
588.25,156.85
595.99,156.85
603.9,156.85
611.98,156.85
620.17,156.85
628.44,156.85
636.71,156.85
645.03,156.85
653.27,156.85
661.42,156.85
669.45,156.85
677.39,156.85
685.18,156.85
692.98,156.85
700.74,156.85
708.54,156.85
716.36,156.85
724.22,156.85
732.29,156.85
740.5,156.85
748.92,156.85
757.67,156.85
766.84,156.85
776.48,156.85
786.53,156.85
796.95,156.85
807.63,156.85
818.55,156.77
829.67,156.77
840.95,156.78
852.36,156.78
863.9,156.79
875.44,156.79
886.93,156.8
898.3,156.79
909.63,156.79
920.87,156.45
931.87,156.47
942.79,156.41
953.58,156.28
964.32,155.94
975.05,155.46
985.81,154.92
996.57,154.34
1007.37,153.6
1018.21,152.84
1029.13,151.86
1040.06,150.87
1050.96,149.88
1061.91,148.76
1072.78,147.58
1083.54,146.41
1094.21,145.26
1104.8,143.93
1115.41,142.69
1125.97,141.45
1136.5,140.19
1146.95,138.8
1157.35,137.41
1167.73,136.06
1178.12,134.77
1188.45,133.34
1198.72,131.84
1208.8,130.18
1218.85,127.63
1228.91,125.88
1238.93,123.58
1249.01,121.49
1259.14,119.16
1269.28,116.74
1279.43,114.38
1289.64,111.86
1299.88,109.27
1310.06,106.54
1320.24,103.71
1330.32,100.8
1340.23,97.85
1349.95,94.75
1359.58,91.67
1369.12,88.57
1378.69,85.4
1388.24,82.14
1397.92,78.85
1407.56,75.47
1417.14,71.99
1426.75,68.42
1436.34,64.79
1445.84,61.05
1455.36,57.27
1464.71,53.45
1473.98,49.56
1483.19,45.61
1492.41,41.59
1501.58,37.49
1510.67,33.38
1519.78,29.29
1528.79,25.1
1537.74,20.9
1546.49,16.79
1555.17,12.78
1563.73,8.88
1572.26,5.15
1580.7,1.55
1589.19,-1.85
1597.73,-5.17
1606.2,-8.25
1614.72,-11.2
1623.34,-14.04
1631.87,-16.73
1640.41,-19.31
1648.86,-21.7
1657.33,-23.99
1665.78,-26.25
1674.2,-28.32
1682.69,-30.28
1691.05,-32.15
1699.42,-33.91
1707.74,-35.43
1715.96,-36.7
1724.29,-37.94
1732.53,-39.34
1740.69,-40.87
1748.6,-42.72
1756.26,-44.01
1763.64,-45.15
1770.87,-46.16
1778,-47.14
